3-D Tetris,144.99,244.99,284.99,045496770112,16070,https://www.pricecharting.com/game/virtual-boy/3d-tetris 
Galactic Pinball,29.99,44.99,99.99,045496770051,16071,https://www.pricecharting.com/game/virtual-boy/galactic-pinball 
Golf,49.99,79.99,99.99,045496770082,16072,https://www.pricecharting.com/game/virtual-boy/golf 
Jack Bros.,869.99,1964.99,3934.99,034707986817,16073,https://www.pricecharting.com/game/virtual-boy/jack-bros 
Mario Clash,54.99,94.99,349.99,045496770020,14217,https://www.pricecharting.com/game/virtual-boy/mario-clash 
Marios Tennis,19.99,234.99,414.99,750939006016,16074,https://www.pricecharting.com/game/virtual-boy/mario%27s-tennis 
Nesters Funky Bowling,84.99,159.99,199.99,045496770105,16075,https://www.pricecharting.com/game/virtual-boy/nester%27s-funky-bowling 
Panic Bomber,54.99,114.99,159.99,045496770099,16076,https://www.pricecharting.com/game/virtual-boy/panic-bomber 
Red Alarm,29.99,59.99,79.99,045496770044,16077,https://www.pricecharting.com/game/virtual-boy/red-alarm 
SD Gundam Dimension Wars,64.99,119.99,164.99,,50176,https://www.pricecharting.com/game/virtual-boy/sd-gundam-dimension-wars-homebrew 
Space Squash [Japan],94.99,104.99,324.99,,33953,https://www.pricecharting.com/game/virtual-boy/space-squash-%5Bjapan%5D 
Telero Boxer,29.99,69.99,114.99,045496770013,14346,https://www.pricecharting.com/game/virtual-boy/teleroboxer 
Vertical Force,54.99,99.99,154.99,045496770075,16078,https://www.pricecharting.com/game/virtual-boy/vertical-force 
Virtual Bowling,124.99,414.99,-.01,,19445,https://www.pricecharting.com/game/virtual-boy/virtual-bowling 
Virtual League Baseball,34.99,44.99,59.99,741648004011,16079,https://www.pricecharting.com/game/virtual-boy/virtual-league-baseball 
Wario Land,64.99,159.99,289.99,045496770068,14198,https://www.pricecharting.com/game/virtual-boy/wario-land 
Waterworld,199.99,394.99,544.99,020295130015,16080,https://www.pricecharting.com/game/virtual-boy/waterworld 
